"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 20:15:44 GMT 2024","Wed Apr 10 20:15:48 GMT 2024","3560","chromium","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Wed Apr 10 20:15:48 GMT 2024","Wed Apr 10 20:16:03 GMT 2024","15096","chromium","","QA Automation > Magazine Page","","","Go to Ask a QFA section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 20:14:00 GMT 2024","Wed Apr 10 20:14:03 GMT 2024","3718","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Wed Apr 10 20:14:37 GMT 2024","Wed Apr 10 20:14:45 GMT 2024","7909","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response and close the card",""
"passed","Wed Apr 10 20:13:57 GMT 2024","Wed Apr 10 20:14:00 GMT 2024","2621","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Wed Apr 10 20:18:17 GMT 2024","Wed Apr 10 20:18:28 GMT 2024","11028","chromium","","QA Automation > Our Story","","","Click on read full article of second business card",""
"passed","Wed Apr 10 20:14:03 GMT 2024","Wed Apr 10 20:14:07 GMT 2024","3414","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Wed Apr 10 20:16:09 GMT 2024","Wed Apr 10 20:16:14 GMT 2024","5647","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 20:14:58 GMT 2024","Wed Apr 10 20:15:05 GMT 2024","6964","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response and close the card",""
"passed","Wed Apr 10 20:14:24 GMT 2024","Wed Apr 10 20:14:30 GMT 2024","6697","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Wed Apr 10 20:13:54 GMT 2024","Wed Apr 10 20:13:57 GMT 2024","2748","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Wed Apr 10 20:16:03 GMT 2024","Wed Apr 10 20:16:09 GMT 2024","5577","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 20:13:41 GMT 2024","Wed Apr 10 20:13:44 GMT 2024","2644","chromium","","QA Automation > Homepage","","","Go to home page and assert response",""
"passed","Wed Apr 10 20:15:12 GMT 2024","Wed Apr 10 20:15:19 GMT 2024","6929","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response and close the card",""
"passed","Wed Apr 10 20:14:15 GMT 2024","Wed Apr 10 20:14:19 GMT 2024","3605","chromium","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Wed Apr 10 20:16:20 GMT 2024","Wed Apr 10 20:16:26 GMT 2024","5783","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 20:16:32 GMT 2024","Wed Apr 10 20:16:36 GMT 2024","4114","chromium","","QA Automation > Our Story","","","Go Helping you achieve financial well-being section and click on expansion and collapse tile",""
"passed","Wed Apr 10 20:15:26 GMT 2024","Wed Apr 10 20:15:33 GMT 2024","7129","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for previous button in 8 MS profile section",""
"passed","Wed Apr 10 20:13:51 GMT 2024","Wed Apr 10 20:13:54 GMT 2024","3433","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Wed Apr 10 20:14:12 GMT 2024","Wed Apr 10 20:14:15 GMT 2024","3701","chromium","","QA Automation > Homepage","","","Click on download the app of FWP section",""
"passed","Wed Apr 10 20:15:19 GMT 2024","Wed Apr 10 20:15:26 GMT 2024","7020","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for next button in 8 MS profile section",""
"passed","Wed Apr 10 20:14:07 GMT 2024","Wed Apr 10 20:14:12 GMT 2024","4906","chromium","","QA Automation > Homepage","","","Click on download the app in How it Works ? section",""
"passed","Wed Apr 10 20:18:28 GMT 2024","Wed Apr 10 20:18:36 GMT 2024","8492","chromium","","QA Automation > Our Story","","","Click on read full article of third business card",""
"passed","Wed Apr 10 20:13:48 GMT 2024","Wed Apr 10 20:13:51 GMT 2024","2741","chromium","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Wed Apr 10 20:15:05 GMT 2024","Wed Apr 10 20:15:12 GMT 2024","6552","chromium","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response and close the card",""
"passed","Wed Apr 10 20:16:14 GMT 2024","Wed Apr 10 20:16:20 GMT 2024","6037","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 20:14:30 GMT 2024","Wed Apr 10 20:14:37 GMT 2024","6749","chromium","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response and close the card",""
"passed","Wed Apr 10 20:16:26 GMT 2024","Wed Apr 10 20:16:32 GMT 2024","5904","chromium","","QA Automation > Our Story","","","Go Our Story and assert title",""
"passed","Wed Apr 10 20:14:19 GMT 2024","Wed Apr 10 20:14:24 GMT 2024","4556","chromium","","QA Automation > MoneySign Guide Page","","","To check the title of Moneysign page",""
"broken","Wed Apr 10 20:17:26 GMT 2024","Wed Apr 10 20:18:17 GMT 2024","50221","chromium","","QA Automation > Our Story","","","Click on read full article of first business card",""
"passed","Wed Apr 10 20:14:52 GMT 2024","Wed Apr 10 20:14:58 GMT 2024","6614","chromium","","QA Automation > MoneySign Guide Page","","","Click on Virtuous Elephant, assert response and close the card",""
"passed","Wed Apr 10 20:19:27 GMT 2024","Wed Apr 10 20:19:50 GMT 2024","23477","chromium","","QA Automation > Our Story","","","Click on read full article of fourth business card",""
"passed","Wed Apr 10 20:13:44 GMT 2024","Wed Apr 10 20:13:48 GMT 2024","4431","chromium","","QA Automation > Homepage","","","Click on download the App on Home Page",""
"passed","Wed Apr 10 20:14:45 GMT 2024","Wed Apr 10 20:14:52 GMT 2024","6881","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response and close the card",""
"passed","Wed Apr 10 20:15:39 GMT 2024","Wed Apr 10 20:15:44 GMT 2024","5474","chromium","","QA Automation > MoneySign Guide Page","","","Click on read more link",""
"passed","Wed Apr 10 20:15:33 GMT 2024","Wed Apr 10 20:15:39 GMT 2024","5823","chromium","","QA Automation > MoneySign Guide Page","","","Scroll down and click on download the app section",""
